time,A0,B0,C0,D0,E0,F0,G0,H0,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11
0:01:27,8494,7410,7725,4165,4227,4152,3112,3252,8631,7861,7829,4477,4492,4401,3410,3537,9780,8827,9667,5498,5728,5144,3483,3646,13262,11559,11202,9519,9192,6993,3758,3952,18209,15246,15173,10924,14241,12674,4185,4869,26124,19722,26862,11263,13113,13787,5145,5590,32256,34791,25054,13883,11781,15283,6703,6872,27266,24928,33807,9614,11198,14355,6783,7263,28967,34244,37190,17048,17474,12636,7333,7173,33961,36371,38403,13086,13241,18886,7499,7786,29860,37574,28671,16727,16653,17442,7274,7865,1403,2469,1175,233,235,232,240,248
0:16:27,5785,5810,5828,5137,6176,7117,7094,7039,5892,5901,5963,5191,7096,8951,8777,8771,5845,5941,6082,5202,7097,8995,8882,8812,5903,5890,6069,5275,7130,8991,8845,8755,6042,6045,6167,5354,6949,8737,8823,8793,6042,6018,6022,5285,7210,8967,8832,8753,6052,5974,5957,5198,7133,8968,8808,8771,5917,6000,5923,5231,7109,8909,8766,8716,5987,5944,5940,5182,7119,8898,8796,8681,5966,5889,5901,5166,7064,8798,8681,8639,6085,5930,6134,5188,6983,8787,8569,8612,5541,5881,4612,953,955,951,976,998
0:31:27,5557,5614,5617,4964,5962,6871,6845,6797,5607,5584,5664,4993,6847,8654,8480,8480,5642,5680,5783,5005,6863,8701,8579,8515,5628,5610,5783,5075,6883,8694,8550,8470,5767,5802,5833,5152,6698,8459,8482,8523,5729,5791,5772,5094,6986,8692,8541,8468,5742,5735,5709,5037,6925,8702,8515,8479,5696,5720,5702,5033,6896,8664,8497,8433,5735,5716,5715,5003,6889,8613,8500,8386,5714,5715,5705,4976,6826,8552,8386,8383,5691,5779,5857,4988,6749,8507,8280,8325,5329,5647,4439,927,935,925,941,980
0:46:27,5528,5576,5600,4906,5876,6798,6756,6689,5586,5546,5589,4926,6759,8539,8363,8338,5645,5625,5744,4954,6789,8590,8440,8414,5642,5598,5741,5036,6842,8604,8429,8361,5745,5783,5811,5147,7083,8626,8374,8401,5730,5780,5734,5122,6967,8631,8416,8357,5748,5753,5722,5078,6948,8693,8378,8368,5692,5737,5677,5095,6940,8692,8371,8327,5753,5699,5746,5088,6906,8633,8372,8290,5713,5741,5684,5054,6884,8582,8288,8284,5760,5757,5730,5089,6830,8597,8180,8255,5272,5594,4376,914,921,915,938,964
1:01:27,5538,5600,5595,4902,5875,6787,6711,6654,5587,5565,5602,4945,6766,8497,8307,8295,5655,5639,5764,4990,6792,8564,8382,8346,5663,5627,5754,5097,6877,8611,8368,8297,5768,5820,5826,5271,7224,8631,8303,8365,5798,5831,5771,5359,7169,8775,8356,8319,5810,5789,5772,5365,7191,8932,8350,8340,5794,5811,5733,5390,7214,8936,8332,8291,5821,5781,5807,5388,7196,8873,8321,8235,5817,5806,5789,5376,7156,8891,8239,8256,5823,5863,5857,5425,7109,8864,8142,8229,5253,5535,4360,911,912,910,929,953
1:16:27,5560,5627,5621,4941,5878,6772,6698,6659,5607,5590,5635,4981,6764,8482,8279,8279,5664,5679,5745,5045,6813,8571,8343,8336,5695,5658,5777,5201,6930,8636,8351,8273,5822,5875,5875,5468,7408,8713,8291,8339,5868,5881,5857,5705,7469,9020,8346,8319,5906,5881,5865,5777,7598,9318,8338,8326,5875,5893,5819,5791,7591,9338,8331,8313,5927,5870,5917,5836,7582,9231,8317,8251,5936,5911,5882,5803,7528,9303,8244,8249,5886,5983,5892,5870,7514,9285,8142,8216,5234,5528,4344,905,911,907,930,954
1:31:27,5586,5661,5660,4957,5902,6806,6686,6649,5643,5610,5694,5017,6779,8483,8260,8276,5704,5721,5794,5106,6869,8591,8332,8318,5753,5718,5852,5321,7020,8695,8317,8275,5896,5952,5958,5713,7604,8848,8262,8326,5999,5961,5969,6106,7853,9338,8353,8305,6061,6022,6004,6267,8064,9777,8336,8324,6039,6000,5944,6211,8045,9802,8338,8307,6069,6026,6033,6350,8078,9794,8320,8262,6071,6070,6042,6326,8002,9842,8252,8250,6002,6180,5982,6383,7979,9778,8153,8230,5231,5527,4344,904,903,902,924,950
1:46:27,5799,5734,5721,4998,5940,6821,6689,6637,5721,5700,5774,5067,6812,8508,8248,8258,5776,5809,5879,5177,6907,8610,8316,8308,5886,5811,5926,5439,7119,8745,8331,8273,6076,6114,6092,5952,7773,8991,8272,8351,6224,6133,6158,6543,8297,9706,8331,8325,6284,6220,6196,6800,8588,10317,8344,8356,6211,6153,6080,6623,8552,10320,8359,8343,6302,6223,6241,6909,8602,10250,8319,8287,6319,6311,6291,6835,8471,10477,8283,8285,6198,6440,6089,6919,8545,10344,8163,8268,5229,5521,4343,903,908,902,925,949
2:01:27,5927,5896,5869,5034,5973,6857,6687,6661,5891,5847,5912,5127,6833,8520,8246,8259,5979,5942,6026,5240,6965,8650,8333,8324,6133,5994,6095,5557,7244,8829,8331,8268,6411,6349,6341,6211,7963,9182,8262,8405,6596,6395,6450,7001,8745,10105,8390,8369,6696,6533,6524,7347,9175,10917,8391,8400,6541,6387,6311,7067,9044,10894,8418,8385,6720,6578,6582,7485,9165,10788,8395,8337,6706,6709,6726,7374,8999,11133,8346,8341,6547,6851,6322,7469,9212,10958,8209,8324,5231,5532,4348,903,906,901,921,943
2:16:27,6171,6130,6110,5116,6038,6911,6721,6695,6171,6067,6150,5211,6919,8587,8270,8299,6288,6180,6245,5348,7047,8721,8342,8369,6533,6239,6350,5702,7391,8939,8376,8333,6943,6718,6678,6487,8134,9441,8278,8481,7175,6805,6900,7474,9261,10521,8455,8424,7272,7026,7025,7927,9767,11607,8493,8508,7029,6703,6656,7518,9602,11456,8509,8500,7337,7096,7082,8084,9778,11429,8449,8425,7355,7281,7379,7933,9512,11916,8415,8470,7135,7408,6738,8048,9914,11610,8289,8399,5237,5539,4352,899,902,899,922,946
2:31:27,6472,6425,6413,5213,6136,6997,6768,6763,6471,6334,6444,5336,7027,8684,8319,8360,6698,6466,6530,5492,7207,8842,8428,8435,7035,6565,6646,5903,7615,9134,8463,8419,7569,7165,7138,6809,8345,9788,8315,8617,7826,7286,7448,7996,9795,11016,8546,8559,7972,7600,7630,8546,10421,12325,8625,8644,7600,7133,7084,7994,10163,12078,8661,8645,8077,7755,7722,8700,10433,12132,8581,8548,8141,7943,8192,8490,10083,12732,8559,8601,7842,8109,7312,8627,10683,12366,8376,8543,5238,5600,4347,903,907,898,922,947
2:46:27,6798,6746,6754,5401,6318,7176,6899,6883,6834,6660,6774,5500,7228,8847,8423,8475,7097,6759,6861,5697,7451,9054,8554,8599,7560,6902,6996,6134,7961,9411,8597,8556,8231,7645,7646,7201,8616,10246,8403,8859,8511,7843,8039,8570,10455,11579,8715,8741,8695,8191,8269,9179,11102,13102,8827,8886,8221,7598,7559,8499,10775,12725,8858,8893,8889,8381,8370,9378,11112,12836,8765,8757,8957,8628,9051,9070,10673,13651,8769,8844,8603,8876,7918,9277,11496,13191,8530,8747,5234,5673,4360,896,904,898,919,950
3:01:27,7199,7129,7158,5648,6601,7421,7088,7062,7281,6990,7160,5718,7526,9076,8580,8651,7609,7099,7229,5969,7795,9347,8723,8805,8218,7300,7394,6467,8434,9840,8807,8807,8996,8191,8183,7640,8985,10898,8497,9194,9309,8429,8701,9182,11222,12232,8934,9005,9498,8845,8968,9846,11902,13985,9113,9194,8920,8119,8093,9022,11428,13463,9171,9223,9777,9139,9087,10046,11886,13599,9043,9023,9869,9368,10026,9676,11314,14652,9043,9161,9428,9756,8606,9965,12403,14079,8737,9046,5239,5753,4359,902,904,896,923,947
3:16:27,7729,7619,7671,5937,6886,7692,7263,7267,7863,7453,7656,6015,7841,9370,8765,8848,8250,7583,7736,6310,8193,9682,8943,9021,8978,7847,7937,6863,9014,10315,9039,9056,9937,8862,8883,8200,9458,11690,8667,9530,10259,9152,9490,9883,12095,13039,9213,9319,10494,9640,9798,10587,12758,14975,9420,9557,9831,8786,8705,9555,12177,14259,9466,9557,10858,10060,9961,10770,12745,14485,9339,9347,11010,10296,11209,10290,12002,15749,9379,9524,10443,10838,9435,10698,13404,15064,9019,9387,5235,5841,4361,898,904,903,924,946
3:31:27,8415,8262,8335,6272,7208,8293,7454,7428,8582,8046,8345,6354,8164,9642,8959,9036,9029,8226,8394,6711,8607,10013,9121,9202,9924,8561,8706,7336,9596,10805,9260,9442,11071,9698,9756,8839,9992,12526,8858,9838,11490,10004,10473,10655,13000,13859,9485,9646,11762,10567,10785,11369,13653,15982,9730,9893,10945,9679,9525,10130,12942,15079,9796,9886,12106,11151,10978,11567,13623,15330,9656,9671,12303,11373,12529,10947,12732,16871,9707,9878,11587,12094,10434,11498,14434,16075,9330,9736,5252,5924,4368,901,903,902,920,948
3:46:27,9093,8927,8987,6608,7498,8582,7613,7627,9313,8731,9078,6714,8488,9914,9117,9195,9847,8945,9176,7161,9007,10362,9292,9403,10958,9445,9572,7901,10210,11322,9474,9666,12312,10705,10813,9593,10566,13430,9068,10157,12876,11038,11675,11487,13892,14663,9759,9950,13175,11750,12022,12189,14508,16942,10040,10232,12230,10736,10585,10768,13670,15857,10105,10209,13523,12402,12205,12413,14540,16179,9946,9987,13779,12614,14072,11661,13426,17949,10013,10225,12803,13479,11508,12362,15463,17073,9632,10084,5259,6089,4364,903,902,895,920,945
4:01:27,9708,9530,9571,6907,7798,8816,7781,7805,9964,9404,9726,7093,8802,10182,9267,9392,10597,9661,9904,7612,9408,10680,9478,9552,11927,10258,10367,8528,10832,11832,9663,9865,13478,11770,11879,10465,11179,14335,9294,10452,14145,12181,12856,12415,14853,15514,10041,10261,14536,12975,13305,13108,15416,17964,10350,10559,13433,11758,11688,11453,14371,16643,10421,10541,14926,13703,13518,13300,15445,16967,10268,10300,15287,13939,15684,12362,14095,19017,10328,10564,14086,14937,12622,13330,16443,18087,9963,10432,5256,6237,4367,899,908,900,922,950
4:16:27,10279,10032,10134,7185,8049,9033,7954,7950,10595,9999,10302,7437,9077,10390,9412,9560,11326,10272,10563,8068,9785,10972,9638,9724,12847,10991,11090,9183,11462,12298,9840,10056,14610,12747,12837,11338,11803,15315,9512,10733,15323,13343,13929,13386,15860,16386,10291,10573,15788,14181,14452,14042,16368,18994,10659,10893,14572,12738,12731,12115,15090,17418,10732,10870,16229,14932,14764,14207,16416,17772,10561,10633,16760,15216,17265,13102,14767,20153,10646,10877,15366,16429,13717,14224,17489,19096,10292,10795,5265,6255,4373,898,905,898,922,947
4:31:27,10848,10575,10659,7401,8236,9216,8074,8100,11216,10537,10837,7717,9301,10591,9536,9688,11995,10868,11171,8425,10085,11225,9750,9875,13732,11681,11748,9788,12025,12740,10003,10246,15680,13659,13711,12247,12510,16321,9703,10969,16469,14419,14930,14286,16853,17394,10557,10839,17028,15274,15537,14945,17293,20050,10911,11193,15663,13691,13691,12752,15805,18200,10998,11197,17430,16114,15887,15099,17391,18562,10843,10933,18166,16415,18781,13797,15423,21241,10961,11226,16565,17903,14764,15127,18534,20084,10611,11126,5268,6167,4376,898,905,896,919,952
4:46:27,11366,11052,11203,7561,8535,9387,8143,8208,11785,11076,11402,7953,9453,10710,9639,9781,12665,11441,11750,8716,10300,11417,9829,10013,14599,12392,12422,10324,12526,13145,10085,10406,16712,14524,14529,13145,13249,17290,10179,11171,17596,15431,15922,15160,17787,18385,10781,11125,18240,16362,16614,15795,18185,21055,11182,11457,16744,14599,14654,13323,16456,18880,11247,11473,18623,17271,17045,15942,18334,19343,11101,11211,19581,17572,20327,14394,15995,22291,11254,11484,17729,19360,15748,15990,19511,21058,10890,11453,5271,6232,4378,899,899,898,922,950
5:01:27,11890,11511,11677,7757,8695,9490,8194,8315,12352,11599,11901,8178,9592,10809,9726,9905,13313,12026,12383,9025,10514,11565,9889,10123,15419,13080,13116,10829,12989,13495,10176,10529,17749,15428,15393,13998,14000,18156,10367,11343,18726,16495,16891,15913,18668,19348,11028,11376,19442,17367,17646,16580,19033,22043,11412,11720,17792,15521,15649,13824,17029,19589,11475,11701,19794,18398,18196,16706,19239,20083,11322,11463,20938,18677,21805,14919,16535,23352,11472,11757,18826,20826,16724,16842,20443,22033,11156,11731,5268,6311,4393,900,900,897,919,951
5:16:27,12370,11955,12156,7969,8874,9608,8242,8352,12896,12111,12416,8434,9735,10904,9773,9996,13934,12578,12975,9358,10732,11710,9938,10177,16218,13768,13785,11344,13412,13790,10226,10637,18722,16321,16207,14781,14718,18940,10506,11442,19829,17505,17908,16689,19464,20261,11210,11585,20617,18404,18691,17354,19820,22983,11602,11923,18843,16417,16667,14337,17561,20264,11675,11931,20887,19482,19312,17516,20160,20758,11529,11682,22304,19780,23304,15403,17055,24386,11667,11988,19940,22265,17684,17677,21316,22965,11400,11964,5269,6388,4387,895,904,897,924,948
5:31:27,12837,12372,12603,8158,9053,9746,8326,8419,13429,12595,12924,8687,9927,11001,9801,10007,14545,13135,13569,9679,10987,11825,9969,10218,17007,14466,14447,11884,13909,14080,10304,10715,19683,17170,17039,15618,15481,19666,10662,11641,20924,18532,18889,17495,20251,21173,11379,11749,21839,19432,19795,18222,20603,23877,11851,12222,19865,17309,17714,14867,18096,20860,11941,12246,22003,20592,20492,18406,21088,21436,11747,11955,23671,20867,24804,15934,17574,25342,11968,12310,20988,23732,18666,18562,22286,23887,11599,12280,5269,6483,4384,898,907,896,918,951
5:46:27,13302,12767,13043,8361,9236,9901,8423,8519,13944,13051,13401,8922,10096,11122,9877,10071,15138,13638,14135,9982,11261,12018,10043,10290,17793,15120,15128,12414,14407,14375,10382,10825,20647,18019,17834,16416,16216,20406,10795,11853,22005,19542,19893,18238,21075,22030,11549,11969,23040,20470,20852,19073,21389,24788,12134,12532,20889,18205,18792,15434,18632,21525,12227,12573,23114,21716,21691,19317,22065,22022,12041,12290,25130,22012,26324,16538,18116,26361,12264,12696,22060,25170,19624,19492,23227,24818,11893,12652,5268,6551,4392,894,901,895,923,951
6:01:27,13728,13149,13469,8564,9415,10024,8510,8605,14416,13524,13857,9163,10299,11259,9955,10172,15677,14155,14677,10278,11514,12177,10124,10397,18508,15798,15761,12970,14900,14729,10507,10937,21563,18804,18621,17193,16959,21176,10904,12030,23093,20484,20868,18960,21891,22875,11751,12243,24266,21488,21896,19906,22155,25698,12412,12852,21936,19108,19929,15957,19191,22198,12534,12914,24237,22886,22892,20200,23058,22605,12365,12617,26578,23129,27862,17059,18689,27356,12617,13059,23140,26679,20599,20407,24183,25786,12231,13030,5271,6634,4395,898,902,898,926,952
6:16:27,14156,13508,13865,8751,9599,10159,8615,8724,14903,13962,14316,9392,10478,11410,10039,10244,16220,14624,15213,10587,11796,12369,10216,10487,19207,16449,16406,13471,15410,15068,10621,11030,22452,19540,19413,17967,17751,21938,11023,12214,24149,21383,21867,19655,22660,23732,11948,12481,25517,22577,22990,20702,22878,26611,12711,13180,22993,20039,21079,16487,19705,22916,12822,13247,25336,24046,24147,21120,24051,23223,12687,12931,28040,24370,29393,17609,19222,28372,12958,13417,24289,28186,21610,21333,25134,26735,12555,13411,5275,6709,4394,898,904,897,921,950
6:31:27,14544,13855,14229,8944,9753,10306,8716,8842,15347,14388,14763,9636,10667,11542,10137,10367,16737,15134,15718,10915,12055,12569,10305,10592,19923,17081,17060,14028,15941,15409,10729,11159,23324,20253,20195,18725,18585,22695,11137,12403,25247,22269,22873,20280,23419,24591,12167,12707,26715,23699,24043,21471,23616,27454,13000,13498,24010,20991,22299,17013,20239,23610,13118,13589,26450,25227,25470,21988,24986,23864,12978,13247,29557,25613,30994,18173,19789,29407,13308,13768,25444,29673,22686,22232,26050,27688,12895,13781,5288,6790,4397,900,903,897,915,951
6:46:27,14924,14203,14614,9142,9960,10467,8825,8947,15810,14812,15163,9880,10866,11689,10218,10457,17234,15597,16191,11205,12333,12752,10409,10702,20623,17728,17677,14554,16467,15782,10855,11304,24193,20957,20983,19432,19406,23482,11282,12605,26292,23137,23867,20930,24190,25454,12366,12945,28027,24913,25182,22241,24334,28340,13305,13809,25096,21954,23538,17489,20782,24342,13420,13927,27579,26500,26819,22884,25995,24485,13296,13595,31089,26878,32608,18697,20375,30408,13636,14153,26585,31276,23763,23127,27010,28664,13233,14180,5294,6846,4403,903,901,899,914,946
7:01:27,15303,14540,14960,9332,10143,10595,8928,9058,16221,15220,15574,10105,11076,11837,10333,10554,17749,16054,16654,11506,12598,12944,10498,10797,21291,18343,18307,15140,17017,16098,10960,11412,25059,21645,21731,20180,20199,24271,11431,12785,27400,23972,24885,21538,24954,26296,12586,13192,29329,26104,26273,22989,24993,29211,13599,14110,26167,22917,24824,17948,21314,25061,13718,14263,28735,27758,28209,23795,26954,25061,13623,13937,32638,28219,34263,19235,20938,31434,13961,14509,27729,32879,24893,24026,27953,29648,13581,14543,5295,6906,4392,894,904,899,920,950
7:16:27,15680,14891,15327,9530,10321,10743,9021,9156,16672,15627,15964,10360,11272,11989,10430,10667,18242,16485,17131,11819,12892,13163,10611,10905,21994,18963,18917,15692,17569,16447,11078,11545,25964,22328,22501,20899,21044,25045,11576,13005,28506,24783,25977,22153,25727,27147,12791,13434,30633,27412,27433,23771,25659,30136,13873,14408,27283,23958,26125,18384,21804,25795,14009,14583,29893,29085,29614,24680,27960,25640,13962,14243,34232,29584,36009,19774,21529,32455,14316,14852,28936,34528,26040,24920,28825,30584,13926,14917,5277,6939,4406,899,902,897,919,945
7:31:27,16080,15246,15679,9720,10522,10894,9106,9266,17073,16024,16368,10578,11433,12153,10521,10759,18715,16941,17604,12106,13164,13352,10709,11014,22669,19542,19505,16223,18140,16787,11204,11656,26856,23002,23244,21613,21884,25803,11739,13163,29650,25619,27036,22734,26466,28013,13020,13650,32025,28785,28568,24529,26275,30962,14171,14722,28401,24960,27489,18812,22309,26509,14307,14896,31049,30476,31129,25600,28926,26194,14276,14553,35881,31013,37698,20372,22129,33400,14643,15181,30170,36231,27285,25829,29729,31473,14254,15260,5282,7013,4406,895,902,898,923,941
7:46:27,16401,15535,16022,9898,10680,11025,9197,9358,17506,16431,16746,10814,11641,12288,10586,10838,19211,17387,18058,12421,13436,13551,10810,11125,23372,20145,20100,16828,18670,17106,11319,11763,27711,23689,24011,22294,22731,26519,11880,13339,30800,26396,28146,23335,27187,28802,13190,13883,33423,30185,29722,25247,26771,31724,14470,14994,29478,26031,28900,19188,22809,27244,14562,15198,32286,31861,32654,26481,29810,26709,14568,14854,37540,32517,39504,20904,22696,34270,14970,15537,31374,37941,28542,26734,30538,32317,14594,15585,5273,7064,4417,894,902,891,917,948
8:01:27,16750,15844,16354,10080,10840,11175,9287,9451,17935,16814,17094,11037,11813,12440,10668,10935,19687,17828,18538,12690,13689,13723,10879,11190,24053,20763,20719,17390,19226,17437,11398,11871,28597,24391,24814,22949,23585,27255,12001,13501,31952,27175,29286,23921,27855,29556,13382,14080,34855,31642,30895,25965,27290,32426,14724,15277,30697,27063,30336,19575,23324,27919,14813,15513,33516,33316,34217,27342,30661,27192,14871,15145,39247,34020,41296,21512,23285,35132,15253,15841,32635,39659,29842,27657,31324,33086,14889,15899,5277,7119,4409,892,900,896,916,945
